,link,address,price,super_area,bedrooms,bathroom,balcony,additional_rooms,age_possession,floor,furnishing_type,facing,num_parking,features
7014,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-skycourt-sector-86-gurgaon-1929-sq-ft-spid-L81366629,"DLF The Skycourt
Sector 86, Gurgaon",2.41 Cr,1929.0,3 Bedrooms,3 Bathrooms,1 Balcony,Pooja Room,1 to 5 Year Old,11st   of 19 Floors,Semifurnished,South,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']"
7015,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-silverglades-the-melia-sohna-gurgaon-1425-sq-ft-spid-M81405067,"Silverglades The Melia
Sohna, Gurgaon",1.35 Cr,1425.0,2 Bedrooms,2 Bathrooms,3 Balconies,Study Room,1 to 5 Year Old,10th   of 14 Floors,Semifurnished,North-East,1 Covered,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
7016,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-silverglades-the-melia-sohna-gurgaon-950-sq-ft-spid-U81405467,"Silverglades The Melia
Sohna, Gurgaon",1 Cr,950.0,1 Bedroom,1 Bathroom,1 Balcony,,0 to 1 Year Old,2nd   of 14 Floors,Semifurnished,North-East,1 Covered,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
7017,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-silverglades-the-melia-sohna-gurgaon-1845-sq-ft-spid-Z81405615,"Silverglades The Melia
Sohna, Gurgaon",1.8 Cr,1845.0,3 Bedrooms,3 Bathrooms,3 Balconies,Servant Room,0 to 1 Year Old,2nd   of 14 Floors,Semifurnished,North-East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
7018,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ashiana-anmol-sohna-gurgaon-1275-sq-ft-spid-K81396787,"Ashiana Anmol
Sohna, Gurgaon",1.25 Cr,1275.0,2 Bedrooms,2 Bathrooms,2 Balconies,,1 to 5 Year Old,2nd   of 14 Floors,Semifurnished,East,1 Covered,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']"
7019,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ashiana-anmol-sohna-gurgaon-1960-sq-ft-spid-E81397143,"Ashiana Anmol
Sohna, Gurgaon",2.25 Cr,1960.0,3 Bedrooms,3 Bathrooms,2 Balconies,Servant Room,1 to 5 Year Old,12nd   of 14 Floors,Semifurnished,East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
7020,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ashiana-anmol-sohna-gurgaon-1776-sq-ft-spid-F81397245,"Ashiana Anmol
Sohna, Gurgaon",2 Cr,1776.0,3 Bedrooms,3 Bathrooms,2 Balconies,,0 to 1 Year Old,8th   of 14 Floors,Semifurnished,North-East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
7021,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-pareena-mi-casa-sector-68-gurgaon-1483-sq-ft-spid-B81397381,"Pareena Mi Casa
Sector 68, Gurgaon",2 Cr,1483.0,3 Bedrooms,2 Bathrooms,3 Balconies,,1 to 5 Year Old,22nd   of 34 Floors,Unfurnished,,"1 Covered, 1 Open","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
7022,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-1930-sq-ft-spid-I81395889,"DLF New Town Heights 2
Sector 86, Gurgaon",2.03 Cr,1930.0,3 Bedrooms,4 Bathrooms,3 Balconies,"Servant Room,Pooja Room",1 to 5 Year Old,10th   of 22 Floors,Semifurnished,South,1 Covered,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']"
7023,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-1930-sq-ft-spid-D81395275,"DLF New Town Heights 2
Sector 86, Gurgaon",2 Cr,1930.0,3 Bedrooms,4 Bathrooms,3 Balconies,"Pooja Room,Servant Room",0 to 1 Year Old,8th   of 22 Floors,Semifurnished,North-East,1 Covered,"['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7024,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-palm-gardens-sector-83-gurgaon-1720-sq-ft-spid-Y81291507,"Emaar Palm Gardens
Sector 83, Gurgaon",2.3 Cr,1720.0,3 Bedrooms,3 Bathrooms,3 Balconies,Servant Room,1 to 5 Year Old,5th   of 15 Floors,Semifurnished,South,1 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7025,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-palm-gardens-sector-83-gurgaon-1900-sq-ft-spid-G81291747,"Emaar Palm Gardens
Sector 83, Gurgaon",2.6 Cr,1900.0,3 Bedrooms,4 Bathrooms,3 Balconies,Servant Room,1 to 5 Year Old,5th   of 15 Floors,Semifurnished,South,1 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7026,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pareena-mi-casa-sector-68-gurgaon-1245-sq-ft-spid-W81362541,"Pareena Mi Casa
Sector 68, Gurgaon",1.62 Cr,1245.0,2 Bedrooms,2 Bathrooms,3 Balconies,,1 to 5 Year Old,14th   of 22 Floors,Semifurnished,East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
7028,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-pareena-express-heights-sector-99-gurgaon-1865-sq-ft-spid-J81344045,"Pareena Express Heights
Sector 99, Gurgaon",2.25 Cr,1865.0,3 Bedrooms,3 Bathrooms,3 Balconies,Servant Room,1 to 5 Year Old,4th   of 14 Floors,Semifurnished,East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
7029,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-spaze-privy-sector-72-gurgaon-1755-sq-ft-spid-H81244199,"Spaze Privy
Sector 72, Gurgaon",1.85 Cr,1755.0,2 Bedrooms,3 Bathrooms,3+ Balconies,"Study Room,Servant Room",5 to 10 Year Old,8th   of 16 Floors,Semifurnished,North,1 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7030,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-central-park-resorts-sector-48-gurgaon-2719-sq-ft-spid-E81209967,"Central Park Resorts
Sector 48, Gurgaon",7.49 Cr,2719.0,3 Bedrooms,3 Bathrooms,3 Balconies,Servant Room,1 to 5 Year Old,10th   of 17 Floors,Semifurnished,North-East,"2 Covered, 1 Open","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7031,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-central-park-resorts-sector-48-gurgaon-2464-sq-ft-spid-R80782379,"Central Park Resorts
Sector 48, Gurgaon",7.75 Cr,2464.0,3 Bedrooms,3 Bathrooms,3 Balconies,"Pooja Room,Servant Room",5 to 10 Year Old,7th   of 17 Floors,Semifurnished,North-West,"2 Covered, 1 Open","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
7032,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-central-park-resorts-tikri-gurgaon-1700-sq-ft-spid-U81202623,"Central Park Resorts
Tikri, Gurgaon",4.99 Cr,1700.0,3 Bedrooms,3 Bathrooms,2 Balconies,Others,1 to 5 Year Old,10th   of 17 Floors,Semifurnished,West,2 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7033,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-yellow-sector-69-gurgaon-1704-sq-ft-spid-T81173295,"Tulip Yellow
Sector 69, Gurgaon",2.4 Cr,1704.0,3 Bedrooms,3 Bathrooms,3 Balconies,Others,0 to 1 Year Old,16th   of 26 Floors,Semifurnished,North,1 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7034,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-central-park-resorts-tikri-gurgaon-1869-sq-ft-spid-V80850521,"Central Park Resorts
Tikri, Gurgaon",4.95 Cr,1869.0,3 Bedrooms,3 Bathrooms,3 Balconies,Others,5 to 10 Year Old,12nd   of 17 Floors,Semifurnished,North-East,2 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7035,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-city-92-sector-92-gurgaon-1000-sq-ft-spid-F80647137,"Signature Global City 92
Sector 92, Gurgaon",1.05 Cr,1000.0,2 Bedrooms,2 Bathrooms,2 Balconies,Others,1 to 5 Year Old,3rd   of 4 Floors,Semifurnished,North,1 Covered,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']"
7036,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-silverglades-the-ivy-sector-28-gurgaon-3843-sq-ft-spid-L81397803,"Silverglades The Ivy
Sector 28, Gurgaon",9.75 Cr,3843.0,4 Bedrooms,5 Bathrooms,3 Balconies,"Servant Room,Store Room",10+ Year Old,6th   of 10 Floors,Semifurnished,North-West,2 Covered,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
7037,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gls-avenue-51-sector-92-gurgaon-591-sq-ft-spid-L81374419,"GLS Avenue 51
Sector 92, Gurgaon",65 Lac,839.2199999999999,2 Bedrooms,2 Bathrooms,1 Balcony,Study Room,5 to 10 Year Old,4th   of 12 Floors,Semifurnished,West,1 Open,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
7038,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sare-homes-sector-92-gurgaon-1000-sq-ft-spid-A81374111,"Sare Homes
Sector 92, Gurgaon",95 Lac,1420.0,2 Bedrooms,2 Bathrooms,2 Balconies,,5 to 10 Year Old,4th   of 4 Floors,Semifurnished,East,"1 Covered, 1 Open","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'No open drainage around', 'Visitor Parking', 'Park', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
7039,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-central-park-resorts-sector-48-gurgaon-3931-sq-ft-r3-spid-I73086919,"Central Park Resorts
Sector 48, Gurgaon",15 Cr,3931.0,4 Bedrooms,4 Bathrooms,3+ Balconies,"Study Room,Servant Room",5 to 10 Year Old,10th   of 17 Floors,Semifurnished,North,2 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
7040,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ashoka-group-housing-society-sector-56-gurgaon-1810-sq-ft-spid-K80544027,"Ashoka Group Housing Society
Sector 56, Gurgaon",2.15 Cr,1810.0,3 Bedrooms,2 Bathrooms,3 Balconies,Pooja Room,10+ Year Old,5th   of 10 Floors,Unfurnished,West,"1 Covered, 1 Open","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']"
